name,party_I,party_II,party_III,party_IV,party_V,party_VI,partyChanger,isFemale,allParties,partyCount,isPartyConstant
Кадыров Бахтияр Сабиржанович,,,,,СДПК,,0,0,",,,,СДПК,",1,False
Жоошбеков Заирбек Сулайманович,,,,,СДПК,,0,0,",,,,СДПК,",1,False
Кадыралиева Ыргал Кармышаковна,,,,,СДПК,,0,1,",,,,СДПК,",1,False
Измалкова Алла Николаевна,,,,,СДПК,,0,1,",,,,СДПК,",1,False
Султанов Акылбек Шакирович,,,,,СДПК,,0,0,",,,,СДПК,",1,False
Туманов Токтогул Туманович,,,,,СДПК,,0,0,",,,,СДПК,",1,False
Исаев Жусупали Калматович,,,,,СДПК,,0,0,",,,,СДПК,",1,False
Домшенко Олег Леонидович,,,,,СДПК,,0,0,",,,,СДПК,",1,False
Асанов Курсан Сатарович,,,,,СДПК,,0,0,",,,,СДПК,",1,False
Тербишалиев Данияр Омурзакович,,,,,СДПК,,0,0,",,,,СДПК,",1,False
Сакебаев Эркин Абдышевич,,,,,СДПК,,0,0,",,,,СДПК,",1,False
Эрматов Эгемберди,,,,,СДПК,,0,0,",,,,СДПК,",1,False
Жамгырчиева Гульнара Оморовна,,,,,СДПК,,0,1,",,,,СДПК,",1,False
Алымбеков Замирбек Маданбекович,,,,,СДПК,,0,0,",,,,СДПК,",1,False
Атаджанов Сабир Садыкджанович,,,,,СДПК,,0,0,",,,,СДПК,",1,False
Салимов Турсунтай Аблизович,,,,,СДПК,,0,0,",,,,СДПК,",1,False
